Serial Port,Voltage (V),Average X,Average Y,Average Z
COM20,0.0632,25.01,-58.22,-50.16
COM21,0.0632,8.12,32.06,-59.96
COM16,0.618,-31.19,70.48,-149.39
COM18,0.618,-15.49,28.94,-12.94
COM19,0.618,-20.89,62.18,139.23
COM20,0.618,25.85,11.99,115.73
COM21,0.618,-32.41,50.92,-139.38
COM16,0.414,-35.51,56.08,-117.94
COM18,0.414,-10.29,23.87,-27.23
COM19,0.414,-66.44,61.81,75.8
COM20,0.414,-19.65,11.92,54.97
COM21,0.414,-68.8,52.28,-119.11
COM16,0.3767,-33.2,48.69,-113.96
COM18,0.3767,-23.35,22.43,-33.06
COM19,0.3767,-16.83,56.6,64.74
COM20,0.3767,23.5,10.84,43.66
COM21,0.3767,-21.76,50.65,-101.12
COM16,0.6074,-32.88,34.09,-155.08
COM18,0.6074,3.31,44.51,10.05
COM19,0.6074,-71.86,-3.37,136.8
COM20,0.6074,-13.14,-53.15,113.13
COM21,0.6074,-62.58,34.25,-156.34
COM16,0.4218,-32.07,14.1,-130.01
COM18,0.4218,-15.38,39.31,-8.56
COM19,0.4218,-20.26,-10.35,80.05
COM20,0.4218,28.36,-55.44,57.32
COM21,0.4218,-9.23,32.37,-115.06
COM16,0.3916,-32.76,49.73,-116.87
COM18,0.3916,-22.75,23.02,-31.88
COM19,0.3916,-17.23,56.79,69.05
COM20,0.3916,23.95,10.54,47.57
COM21,0.3916,-20.2,45.23,-93.35
COM16,0.4704,-34.15,21.63,-135.51
COM18,0.4704,-2.22,40.58,-3.19
COM19,0.4704,-70.01,-5.62,93.99
COM20,0.4704,-14.28,-54.46,71.92
COM21,0.4704,-56.38,34.1,-135.13
COM16,0.4355,-32.22,15.43,-132.07
COM18,0.4355,-15.24,39.43,-8.4
COM19,0.4355,-21.03,-9.75,83.58
COM20,0.4355,28.92,-54.75,61.49
COM21,0.4355,-9.69,32.18,-117.31
COM16,0.5634,-33.6,30.74,-148.64
COM18,0.5634,1.77,42.96,5.52
COM19,0.5634,-71.58,-3.4,122.72
COM20,0.5634,-13.41,-53.11,99.5
COM21,0.5634,-60.31,34.16,-149.47
COM16,0.2246,-36.39,-0.05,-100.59
COM18,0.2246,-9.98,34.11,-23.75
COM19,0.2246,-65.8,-9.56,18.26
COM20,0.2246,-17.0,-55.05,-2.16
COM21,0.2246,-45.69,34.04,-96.84
COM16,0.679,-30.46,75.93,-157.03
COM18,0.679,-13.72,30.71,-9.12
COM19,0.679,-22.25,63.33,157.78
COM20,0.679,26.67,12.61,134.47
COM21,0.679,-34.56,51.03,-149.03
COM16,0.0452,-36.03,19.29,-67.41
COM18,0.0452,-33.26,13.78,-61.37
COM19,0.0452,-11.74,50.22,-39.62
COM20,0.0452,20.32,8.39,-57.74
COM21,0.0452,-7.07,50.34,-49.85
COM16,0.6864,-30.36,76.14,-158.23
COM18,0.6864,-13.4,30.84,-7.88
COM19,0.6864,-22.38,63.51,160.25
COM20,0.6864,26.45,12.62,136.73
COM21,0.6864,-35.23,51.17,-150.23
COM16,0.073,-37.48,-14.42,-79.65
COM18,0.073,-14.48,30.25,-36.51
COM19,0.073,-63.69,-13.18,-28.47
COM20,0.073,-18.31,-56.42,-46.35
COM21,0.073,-39.3,33.66,-73.13
COM16,0.541,-30.49,24.86,-146.4
COM18,0.541,-11.3,42.57,0.47
COM19,0.541,-22.51,-7.43,115.82
COM20,0.541,29.43,-53.87,92.77
COM21,0.541,-14.14,32.54,-134.34
COM16,0.3058,-35.86,43.65,-106.95
COM18,0.3058,-13.33,20.75,-37.56
COM19,0.3058,-64.69,59.62,41.89
COM20,0.3058,-20.57,11.06,22.76
COM21,0.3058,-63.92,52.14,-102.32
COM16,0.3389,-35.37,10.4,-116.76
COM18,0.3389,-6.23,37.25,-13.82
COM19,0.3389,-67.59,-8.14,53.56
COM20,0.3389,-15.84,-54.44,33.16
COM21,0.3389,-50.13,33.85,-114.29
COM16,0.5775,-33.2,31.6,-150.16
COM18,0.5775,2.39,43.51,7.07
COM19,0.5775,-71.69,-2.72,127.62
COM20,0.5775,-13.14,-52.72,103.82
COM21,0.5775,-60.82,34.6,-152.43
COM16,0.5634,-33.32,30.26,-148.54
COM18,0.5634,1.86,43.07,5.98
COM19,0.5634,-71.46,-2.77,123.04
COM20,0.5634,-13.44,-52.74,100.32
COM21,0.5634,-60.27,34.42,-150.13
COM16,0.4872,-35.0,61.88,-128.39
COM18,0.4872,-7.78,25.88,-22.34
COM19,0.4872,-67.67,63.34,97.85
COM20,0.4872,-18.94,12.56,76.84
COM21,0.4872,-72.03,52.5,-131.13
COM16,0.1286,-37.21,-9.5,-87.53
COM18,0.1286,-12.57,32.19,-31.53
COM19,0.1286,-64.44,-11.73,-11.12
COM20,0.1286,-17.71,-55.67,-30.05
COM21,0.1286,-41.61,33.9,-81.95
COM16,0.1011,-38.3,23.37,-74.27
COM18,0.1011,-19.96,15.8,-54.4
COM19,0.1011,-61.24,55.39,-22.7
COM20,0.1011,-22.32,9.98,-40.04
COM21,0.1011,-54.92,51.7,-70.6
COM16,0.2518,-33.41,36.79,-84.84
COM18,0.2518,-15.28,19.82,-41.64
COM19,0.2518,-63.73,58.25,25.14
COM20,0.2518,-21.56,10.81,6.2
COM21,0.2518,-61.81,51.97,-93.52
COM16,0.507,-32.48,59.98,-132.13
COM18,0.507,-19.06,26.26,-22.98
COM19,0.507,-19.09,59.7,103.93
COM20,0.507,24.32,11.74,82.35
COM21,0.507,-27.17,50.1,-122.26
COM16,0.1668,-37.83,33.29,-82.68
COM18,0.1668,-18.28,17.18,-48.68
COM19,0.1668,-62.09,56.55,-2.58
COM20,0.1668,-22.28,10.32,-21.02
COM21,0.1668,-57.29,51.69,-80.38
COM16,0.1774,-36.95,-5.75,-94.54
COM18,0.1774,-11.23,33.37,-27.42
COM19,0.1774,-64.51,-11.44,3.96
COM20,0.1774,-17.79,-55.8,-16.07
COM21,0.1774,-43.45,33.93,-89.14
COM16,0.0153,-39.12,19.83,-62.13
COM18,0.0153,-22.75,13.5,-61.11
COM19,0.0153,-59.45,53.38,-49.39
COM20,0.0153,-23.79,9.56,-66.3
COM21,0.0153,-50.96,51.88,-56.41
COM16,0.2582,-33.88,-0.96,-107.16
COM18,0.2582,-20.08,34.97,-23.13
COM19,0.2582,-17.8,-12.97,29.02
COM20,0.2582,27.16,-56.03,8.63
COM21,0.2582,-1.27,32.19,-89.79
COM16,0.2562,-37.29,40.99,-95.21
COM18,0.2562,-15.39,19.94,-41.15
COM19,0.2562,-63.92,58.29,26.39
COM20,0.2562,-21.5,11.36,7.5
COM21,0.2562,-61.81,52.16,-95.0
COM16,0.1774,-36.94,-0.98,-94.58
COM18,0.1774,-11.19,33.14,-27.64
COM19,0.1774,-64.78,-11.33,4.8
COM20,0.1774,-17.24,-56.01,-15.98
COM21,0.1774,-43.4,33.85,-89.33
COM16,0.2574,-36.8,41.47,-95.73
COM18,0.2574,-15.3,19.43,-41.18
COM19,0.2574,-63.3,58.47,26.19
COM20,0.2574,-21.38,11.03,7.54
COM21,0.2574,-61.75,52.13,-94.56
COM16,0.2743,-36.56,42.85,-98.54
COM18,0.2743,-14.55,20.35,-39.83
COM19,0.2743,-63.69,59.22,31.95
COM20,0.2743,-21.36,11.17,13.06
COM21,0.2743,-62.8,52.16,-97.17
COM16,0.0467,-38.05,-17.36,-76.47
COM18,0.0467,-15.2,29.85,-37.69
COM19,0.0467,-62.67,-13.79,-36.36
COM20,0.0467,-18.7,-56.77,-54.63
COM21,0.0467,-37.96,33.49,-69.42
COM16,0.6502,-31.29,72.69,-153.51
COM18,0.6502,-14.81,29.87,-10.41
COM19,0.6502,-20.78,62.99,148.81
COM20,0.6502,25.97,12.4,125.7
COM21,0.6502,-33.45,51.05,-143.95
COM16,0.5002,-35.18,63.12,-130.5
COM18,0.5002,-7.81,26.23,-21.26
COM19,0.5002,-67.62,63.64,101.47
COM20,0.5002,-18.95,12.56,80.13
COM21,0.5002,-72.17,52.81,-132.89
COM16,0.1968,-36.9,-3.85,-96.97
COM18,0.1968,-10.81,33.65,-25.8
COM19,0.1968,-65.18,-10.85,10.47
COM20,0.1968,-17.41,-55.53,-10.31
COM21,0.1968,-44.25,33.79,-92.43
COM16,0.3539,-35.85,11.67,-119.09
COM18,0.3539,-5.62,37.59,-12.55
COM19,0.3539,-67.91,-7.16,58.34
COM20,0.3539,-15.9,-54.59,36.88
COM21,0.3539,-51.07,34.2,-116.29
COM16,0.498,-34.9,59.18,-130.74
COM18,0.498,-7.59,26.13,-21.13
COM19,0.498,-67.59,63.92,101.01
COM20,0.498,-19.11,12.27,79.8
COM21,0.498,-72.62,53.15,-132.73
COM16,0.1116,-34.96,-14.61,-86.81
COM18,0.1116,-24.7,30.91,-34.75
COM19,0.1116,-15.62,-16.07,-16.47
COM20,0.1116,25.23,-56.95,-36.1
COM21,0.1116,5.24,28.94,-61.11
COM16,0.2841,-35.7,5.52,-109.14
COM18,0.2841,-7.97,35.82,-18.65
COM19,0.2841,-66.67,-8.56,36.35
COM20,0.2841,-16.54,-54.6,16.8
COM21,0.2841,-48.25,33.98,-105.38
COM16,0.4252,-33.54,52.69,-121.09
COM18,0.4252,-21.19,23.55,-29.75
COM19,0.4252,-17.62,57.96,79.15
COM20,0.4252,23.81,10.89,57.59
COM21,0.4252,-23.8,50.34,-108.86
COM16,0.331,-33.95,44.55,-107.63
COM18,0.331,-24.51,21.41,-37.31
COM19,0.331,-16.12,56.15,49.35
COM20,0.331,22.82,10.28,29.11
COM21,0.331,-19.64,50.38,-94.08
COM16,0.525,-34.75,65.15,-134.35
COM18,0.525,-6.91,26.8,-19.37
COM19,0.525,-67.9,64.48,109.96
COM20,0.525,-19.01,13.04,88.32
COM21,0.525,-73.48,52.56,-136.61
COM16,0.4289,-33.15,53.59,-122.45
COM18,0.4289,-21.38,24.18,-29.02
COM19,0.4289,-17.45,58.16,79.97
COM20,0.4289,24.18,11.01,58.87
COM21,0.4289,-23.51,50.38,-109.39
COM16,0.2457,-37.5,40.45,-94.68
COM18,0.2457,-15.82,19.56,-42.22
COM19,0.2457,-63.35,58.63,23.27
COM20,0.2457,-21.48,10.79,4.41
COM21,0.2457,-55.07,46.83,-83.6
COM16,0.5961,-31.58,68.43,-145.77
COM18,0.5961,-15.92,28.92,-15.19
COM19,0.5961,-20.19,62.0,132.51
COM20,0.5961,25.83,12.16,109.57
COM21,0.5961,-30.7,51.13,-135.73
COM16,0.2514,-36.2,2.17,-105.31
COM18,0.2514,-8.44,35.28,-20.93
COM19,0.2514,-66.0,-10.02,26.66
COM20,0.2514,-16.2,-56.01,7.46
COM21,0.2514,-46.32,33.67,-101.06
COM16,0.5552,-32.36,64.29,-140.51
COM18,0.5552,-17.28,27.23,-18.32
COM19,0.5552,-19.62,60.86,119.83
COM20,0.5552,25.48,11.49,97.55
COM21,0.5552,-29.08,50.66,-129.66
COM16,0.6012,-33.21,34.79,-154.94
COM18,0.6012,3.33,44.37,9.47
COM19,0.6012,-71.88,-3.09,135.0
COM20,0.6012,-13.19,-53.49,111.1
COM21,0.6012,-61.82,34.3,-155.37
COM16,0.682,-30.44,37.65,-167.11
COM18,0.682,-6.92,46.1,13.47
COM19,0.682,-24.46,-4.61,159.49
COM20,0.682,30.93,-53.41,134.96
COM21,0.682,-20.09,32.81,-156.7
COM16,0.3766,-36.07,52.12,-113.37
COM18,0.3766,-11.6,23.1,-31.53
COM19,0.3766,-65.38,61.19,64.45
COM20,0.3766,-19.73,11.4,43.69
COM21,0.3766,-66.6,51.96,-113.59
COM16,0.6486,-31.72,34.01,-163.03
COM18,0.6486,-7.61,45.25,10.36
