Serial Port,Voltage (V),Average X,Average Y,Average Z
COM18,0.027877354351155823,-17.96,23.65,-47.13
COM19,0.027877354351155823,-62.14,9.63,-42.79
COM20,0.027877354351155823,-20.41,-34.37,-60.71
COM21,0.027877354351155823,-43.39,41.24,-65.45
COM16,0.03634642189540348,-39.8,-4.36,-71.98
COM18,0.03634642189540348,-17.47,23.75,-46.49
COM19,0.03634642189540348,-62.4,10.3,-40.06
COM20,0.03634642189540348,-20.35,-34.46,-58.27
COM21,0.03634642189540348,-43.39,41.27,-65.99
COM16,0.17932741609549094,-38.4,9.31,-92.27
COM18,0.17932741609549094,-13.52,27.54,-34.91
COM19,0.17932741609549094,-64.32,13.24,4.3
COM20,0.17932741609549094,-19.05,-33.53,-15.77
COM21,0.17932741609549094,-50.22,41.5,-88.4
COM16,0.10590503105218914,-39.33,3.04,-81.62
COM18,0.10590503105218914,-15.66,25.83,-40.77
COM19,0.10590503105218914,-63.32,11.59,-19.51
COM20,0.10590503105218914,-19.64,-33.81,-36.84
COM21,0.10590503105218914,-46.46,41.36,-77.0
COM16,0.1363851843233639,-36.3,26.23,-81.42
COM18,0.1363851843233639,-34.39,16.11,-54.69
COM19,0.1363851843233639,4.21,50.36,-11.66
COM20,0.1363851843233639,35.66,8.23,-29.88
COM21,0.1363851843233639,-4.95,50.38,-63.8
COM16,0.05332129735779578,-36.9,19.04,-69.99
COM18,0.05332129735779578,-36.7,14.1,-61.73
COM19,0.05332129735779578,5.5,48.69,-36.95
COM20,0.05332129735779578,34.89,7.64,-54.88
COM21,0.05332129735779578,-0.7,50.37,-50.46
COM16,0.0017267250938045153,-36.89,14.36,-62.82
COM18,0.0017267250938045153,-38.42,12.56,-65.95
COM19,0.0017267250938045153,6.43,47.86,-53.2
COM20,0.0017267250938045153,34.32,7.33,-70.83
COM21,0.0017267250938045153,2.18,50.61,-42.13
COM16,0.022107977330450744,-39.96,-5.6,-70.42
COM18,0.022107977330450744,-18.08,23.62,-47.36
COM19,0.022107977330450744,-61.83,9.79,-45.18
COM20,0.022107977330450744,-20.86,-34.6,-62.21
COM21,0.022107977330450744,-43.22,41.16,-64.18
COM16,0.17219920610644876,-35.58,29.82,-86.42
COM18,0.17219920610644876,-32.14,16.68,-49.89
COM19,0.17219920610644876,3.61,51.28,0.17
COM20,0.17219920610644876,35.83,8.32,-19.31
COM21,0.17219920610644876,-6.71,50.8,-69.48
COM16,0.05952032262685986,-39.45,-2.1,-75.63
COM18,0.05952032262685986,-16.78,24.59,-45.09
COM19,0.05952032262685986,-62.54,10.49,-33.18
COM20,0.05952032262685986,-19.32,-33.69,-49.52
COM21,0.05952032262685986,-44.77,41.13,-70.11
COM16,0.24915841681025316,-34.4,11.35,-104.47
COM18,0.24915841681025316,-26.53,29.09,-32.14
COM19,0.24915841681025316,0.47,9.69,25.69
COM20,0.24915841681025316,39.67,-34.61,5.22
COM21,0.24915841681025316,0.34,38.47,-86.56
COM16,0.20090365479225683,-34.77,7.12,-97.52
COM18,0.20090365479225683,-26.91,26.93,-35.42
